source_event_id,customer_id,full_name,national_id,date_of_birth,gender,marital_status,employment_status,monthly_income,branch_code,segment,onboarded_at,kyc_status,risk_rating,payload
EV-CUST-C00029,C00029,Customer 00029,NID10794046,1972-08-12,male,married,business-owner,50301.75,NBO-003,retail,2022-04-08T00:00:00+00:00,verified,high,{}
EV-CUST-C00030,C00030,Customer 00030,NID39428525,1985-11-27,female,single,business-owner,63111.13,NBO-001,retail,2023-01-04T00:00:00+00:00,verified,low,{}
EV-CUST-C00031,C00031,Customer 00031,NID18547069,1998-09-04,male,divorced,unemployed,358796.07,NBO-001,sme,2024-10-07T00:00:00+00:00,verified,medium,{}
EV-CUST-C00032,C00032,Customer 00032,NID21079674,2002-04-12,female,divorced,employed,85519.73,ELD-030,retail,2024-02-22T00:00:00+00:00,verified,low,{}
EV-CUST-C00033,C00033,Customer 00033,NID22722004,1978-09-05,male,divorced,business-owner,39463.72,MSA-010,retail,2021-07-22T00:00:00+00:00,verified,low,{}
EV-CUST-C00034,C00034,Customer 00034,NID24836420,1997-10-21,male,divorced,unemployed,47241.61,NKR-040,retail,2023-08-15T00:00:00+00:00,verified,medium,{}
EV-CUST-C00035,C00035,Customer 00035,NID35204013,1992-11-21,male,divorced,business-owner,21359.67,NBO-002,retail,2023-02-27T00:00:00+00:00,verified,low,{}
EV-CUST-C00036,C00036,Customer 00036,NID16524163,1999-02-15,female,married,unemployed,88795.20,NBO-002,retail,2024-11-19T00:00:00+00:00,verified,medium,{}
EV-CUST-C00037,C00037,Customer 00037,NID25587707,1966-07-08,male,divorced,self-employed,670451.12,NKR-040,sme,2020-12-17T00:00:00+00:00,verified,low,{}
EV-CUST-C00038,C00038,Customer 00038,NID34134829,1995-10-11,female,divorced,unemployed,54834.89,NBO-002,retail,2025-10-27T00:00:00+00:00,verified,low,{}
EV-CUST-C00039,C00039,Customer 00039,NID19213961,2000-05-25,female,single,business-owner,33542.98,NBO-002,retail,2025-11-08T00:00:00+00:00,verified,low,{}
EV-CUST-C00040,C00040,Customer 00040,NID12155162,1974-07-23,female,married,business-owner,25378.05,KSM-020,retail,2020-12-07T00:00:00+00:00,verified,low,{}
EV-CUST-C00041,C00041,Customer 00041,NID21803066,1997-12-01,female,married,unemployed,402001.78,KSM-020,sme,2024-08-01T00:00:00+00:00,verified,low,{}
EV-CUST-C00042,C00042,Customer 00042,NID21278635,1974-05-14,female,divorced,self-employed,31540.40,NKR-040,retail,2025-01-13T00:00:00+00:00,verified,low,{}
EV-CUST-C00043,C00043,Customer 00043,NID24381858,1985-10-19,male,married,self-employed,17022.48,NBO-001,retail,2018-02-21T00:00:00+00:00,verified,low,{}
EV-CUST-C00044,C00044,Customer 00044,NID12748317,1984-05-25,female,single,employed,40312.54,NBO-003,retail,2024-05-27T00:00:00+00:00,verified,low,{}
EV-CUST-C00045,C00045,Customer 00045,NID18004240,1961-04-07,male,married,employed,792593.72,KSM-020,corp,2018-10-05T00:00:00+00:00,pending,low,{}
EV-CUST-C00046,C00046,Customer 00046,NID13627192,1998-10-24,male,married,unemployed,42667.14,MSA-010,retail,2019-03-10T00:00:00+00:00,pending,low,{}
EV-CUST-C00047,C00047,Customer 00047,NID37029033,1975-02-23,male,divorced,employed,77292.87,NBO-003,retail,2022-11-20T00:00:00+00:00,verified,medium,{}
EV-CUST-C00048,C00048,Customer 00048,NID22153013,1960-07-27,female,divorced,self-employed,63565.74,MSA-010,retail,2025-02-14T00:00:00+00:00,verified,low,{}
EV-CUST-C00049,C00049,Customer 00049,NID19005859,1994-08-15,female,single,employed,61193.43,NBO-003,retail,2024-12-19T00:00:00+00:00,verified,low,{}
EV-CUST-C00050,C00050,Customer 00050,NID26359461,1984-06-01,male,married,business-owner,60774.88,NBO-003,retail,2025-06-06T00:00:00+00:00,verified,low,{}
EV-CUST-C00051,C00051,Customer 00051,NID26393952,1993-04-03,male,divorced,unemployed,496800.89,ELD-030,sme,2021-12-14T00:00:00+00:00,verified,low,{}
EV-CUST-C00052,C00052,Customer 00052,NID22382271,1985-12-08,female,divorced,business-owner,37067.67,MSA-010,retail,2022-11-19T00:00:00+00:00,rejected,low,{}
EV-CUST-C00053,C00053,Customer 00053,NID20588032,1979-05-08,male,divorced,self-employed,49030.89,NBO-002,retail,2019-12-07T00:00:00+00:00,verified,low,{}
EV-CUST-C00054,C00054,Customer 00054,NID17633068,1993-10-10,female,single,business-owner,736666.00,NBO-001,sme,2019-04-10T00:00:00+00:00,verified,low,{}
EV-CUST-C00055,C00055,Customer 00055,NID10411558,1978-12-05,female,married,unemployed,19089.45,MSA-010,retail,2025-02-28T00:00:00+00:00,verified,high,{}
EV-CUST-C00056,C00056,Customer 00056,NID31120693,1967-02-13,male,single,self-employed,79629.22,NKR-040,retail,2025-02-19T00:00:00+00:00,verified,low,{}
EV-CUST-C00057,C00057,Customer 00057,NID25116756,1986-10-20,female,married,unemployed,972438.59,NBO-003,corp,2021-09-13T00:00:00+00:00,verified,low,{}
EV-CUST-C00058,C00058,Customer 00058,NID15269961,1973-11-07,male,single,employed,928237.22,NBO-002,corp,2022-11-03T00:00:00+00:00,verified,low,{}
EV-CUST-C00059,C00059,Customer 00059,NID25234763,1974-05-23,male,divorced,self-employed,36844.45,NBO-003,retail,2022-12-28T00:00:00+00:00,verified,medium,{}
EV-CUST-C00060,C00060,Customer 00060,NID18913146,1987-02-18,male,single,employed,85025.13,NBO-002,retail,2021-11-05T00:00:00+00:00,verified,low,{}
EV-CUST-C00061,C00061,Customer 00061,NID19135066,1988-02-15,female,married,employed,705079.74,KSM-020,sme,2022-12-13T00:00:00+00:00,verified,low,{}
EV-CUST-C00062,C00062,Customer 00062,NID19043289,1965-04-22,male,single,unemployed,33777.59,KSM-020,retail,2018-11-27T00:00:00+00:00,verified,high,{}
EV-CUST-C00063,C00063,Customer 00063,NID21183973,2000-08-03,female,divorced,employed,58899.72,NKR-040,retail,2025-06-14T00:00:00+00:00,verified,low,{}
EV-CUST-C00064,C00064,Customer 00064,NID18469100,1985-09-02,female,single,unemployed,64693.77,NKR-040,retail,2025-02-11T00:00:00+00:00,verified,high,{}
EV-CUST-C00065,C00065,Customer 00065,NID26726652,1986-01-07,female,single,self-employed,55694.52,NBO-003,retail,2023-10-25T00:00:00+00:00,verified,high,{}
EV-CUST-C00066,C00066,Customer 00066,NID20427044,1967-01-21,male,divorced,unemployed,67368.75,NBO-001,retail,2021-12-06T00:00:00+00:00,verified,medium,{}
EV-CUST-C00067,C00067,Customer 00067,NID19174617,2001-03-16,female,married,unemployed,86029.56,NBO-002,retail,2022-09-23T00:00:00+00:00,verified,low,{}
EV-CUST-C00068,C00068,Customer 00068,NID27036849,1968-02-09,female,single,business-owner,59953.32,ELD-030,retail,2024-06-26T00:00:00+00:00,verified,low,{}
EV-CUST-C00069,C00069,Customer 00069,NID28519275,1969-08-18,female,married,business-owner,1826172.80,NKR-040,corp,2025-06-11T00:00:00+00:00,verified,medium,{}
EV-CUST-C00070,C00070,Customer 00070,NID22791994,1986-01-11,female,divorced,self-employed,32517.18,MSA-010,retail,2025-12-26T00:00:00+00:00,pending,low,{}
EV-CUST-C00071,C00071,Customer 00071,NID14837053,1966-08-04,female,divorced,self-employed,1463587.82,NBO-001,corp,2025-01-24T00:00:00+00:00,verified,high,{}
EV-CUST-C00072,C00072,Customer 00072,NID27905393,2001-02-28,female,married,unemployed,66952.84,NKR-040,retail,2023-11-28T00:00:00+00:00,verified,medium,{}
EV-CUST-C00073,C00073,Customer 00073,NID35513773,1978-04-24,male,married,self-employed,66329.97,ELD-030,retail,2019-07-04T00:00:00+00:00,verified,low,{}
EV-CUST-C00074,C00074,Customer 00074,NID23826162,1982-06-14,male,single,self-employed,19208.94,NBO-001,retail,2020-04-17T00:00:00+00:00,verified,low,{}
EV-CUST-C00075,C00075,Customer 00075,NID25420627,1997-03-08,female,divorced,employed,52325.04,NKR-040,retail,2025-11-09T00:00:00+00:00,verified,low,{}
EV-CUST-C00076,C00076,Customer 00076,NID25328866,1982-10-10,female,single,unemployed,20539.64,NKR-040,retail,2024-12-09T00:00:00+00:00,verified,low,{}
EV-CUST-C00077,C00077,Customer 00077,NID28989426,1978-01-27,male,divorced,unemployed,58110.89,NKR-040,retail,2024-05-01T00:00:00+00:00,verified,low,{}
EV-CUST-C00078,C00078,Customer 00078,NID32742001,1982-04-21,male,divorced,employed,526027.05,ELD-030,sme,2021-10-09T00:00:00+00:00,verified,low,{}
EV-CUST-C00079,C00079,Customer 00079,NID15893502,1968-02-10,male,single,business-owner,58468.04,KSM-020,retail,2023-12-14T00:00:00+00:00,verified,low,{}
EV-CUST-C00080,C00080,Customer 00080,NID12526627,1990-05-24,male,single,unemployed,83553.67,NKR-040,retail,2023-02-15T00:00:00+00:00,verified,low,{}
EV-CUST-C00081,C00081,Customer 00081,NID32560013,1994-02-15,female,divorced,unemployed,187933.63,NKR-040,sme,2023-11-24T00:00:00+00:00,verified,low,{}
EV-CUST-C00082,C00082,Customer 00082,NID31320617,1999-09-11,female,divorced,business-owner,50360.77,ELD-030,retail,2021-11-03T00:00:00+00:00,verified,low,{}
EV-CUST-C00083,C00083,Customer 00083,NID23040790,1991-02-04,female,married,unemployed,353487.81,KSM-020,sme,2021-09-05T00:00:00+00:00,verified,low,{}
EV-CUST-C00084,C00084,Customer 00084,NID22432922,1991-10-14,male,married,unemployed,22426.62,NBO-002,retail,2022-01-23T00:00:00+00:00,verified,low,{}
EV-CUST-C00085,C00085,Customer 00085,NID14098999,2001-06-02,female,single,self-employed,55834.94,ELD-030,retail,2024-05-07T00:00:00+00:00,verified,high,{}
EV-CUST-C00086,C00086,Customer 00086,NID29675751,1968-10-07,male,single,business-owner,40013.19,NKR-040,retail,2019-09-07T00:00:00+00:00,verified,high,{}
EV-CUST-C00087,C00087,Customer 00087,NID32181413,1969-03-18,male,single,employed,79380.46,NBO-003,retail,2022-03-04T00:00:00+00:00,verified,low,{}
EV-CUST-C00088,C00088,Customer 00088,NID35020374,1963-03-24,male,married,unemployed,28068.47,NKR-040,retail,2024-09-04T00:00:00+00:00,verified,low,{}
EV-CUST-C00089,C00089,Customer 00089,NID11045242,1999-01-24,male,married,unemployed,31616.23,MSA-010,retail,2022-08-21T00:00:00+00:00,verified,low,{}
EV-CUST-C00090,C00090,Customer 00090,NID19228005,1965-06-20,female,married,business-owner,221889.71,MSA-010,sme,2020-02-05T00:00:00+00:00,verified,low,{}
EV-CUST-C00091,C00091,Customer 00091,NID39799389,2001-11-25,male,married,business-owner,245216.02,NKR-040,sme,2021-07-15T00:00:00+00:00,verified,low,{}
EV-CUST-C00092,C00092,Customer 00092,NID12252620,2002-05-12,male,single,employed,47007.30,MSA-010,retail,2020-11-16T00:00:00+00:00,verified,medium,{}
EV-CUST-C00093,C00093,Customer 00093,NID23784450,1997-09-18,female,divorced,unemployed,497131.32,NKR-040,sme,2023-11-04T00:00:00+00:00,verified,low,{}
EV-CUST-C00094,C00094,Customer 00094,NID26179591,1966-10-17,male,single,business-owner,38433.67,NKR-040,retail,2021-03-22T00:00:00+00:00,verified,low,{}
EV-CUST-C00095,C00095,Customer 00095,NID37832085,1987-09-25,female,single,self-employed,31961.93,NBO-003,retail,2018-10-22T00:00:00+00:00,verified,low,{}
EV-CUST-C00096,C00096,Customer 00096,NID34862795,1969-10-22,male,single,self-employed,15457.93,MSA-010,retail,2024-02-05T00:00:00+00:00,verified,low,{}
EV-CUST-C00097,C00097,Customer 00097,NID35314667,1996-10-03,male,divorced,employed,69119.70,NBO-003,retail,2018-03-06T00:00:00+00:00,verified,low,{}
EV-CUST-C00098,C00098,Customer 00098,NID19504174,1973-09-04,female,divorced,business-owner,46063.78,NBO-001,retail,2023-07-04T00:00:00+00:00,verified,high,{}
EV-CUST-C00099,C00099,Customer 00099,NID14026006,1973-03-25,male,married,unemployed,30331.73,NBO-002,retail,2022-05-11T00:00:00+00:00,verified,low,{}
EV-CUST-C00100,C00100,Customer 00100,NID24637100,2002-06-03,male,married,employed,56904.27,NKR-040,retail,2024-12-02T00:00:00+00:00,verified,low,{}
EV-CUST-C00101,C00101,Customer 00101,NID36887909,1978-02-13,female,divorced,business-owner,63010.63,NBO-001,retail,2018-06-06T00:00:00+00:00,verified,low,{}
EV-CUST-C00102,C00102,Customer 00102,NID17434724,1965-07-28,female,single,employed,45033.74,KSM-020,retail,2022-12-11T00:00:00+00:00,verified,low,{}
EV-CUST-C00103,C00103,Customer 00103,NID14913852,1982-12-27,female,single,self-employed,73217.12,KSM-020,retail,2020-04-04T00:00:00+00:00,verified,medium,{}
EV-CUST-C00104,C00104,Customer 00104,NID31575225,2000-08-15,female,divorced,business-owner,86346.91,NBO-002,retail,2025-11-19T00:00:00+00:00,verified,low,{}
EV-CUST-C00105,C00105,Customer 00105,NID25163713,1997-01-12,male,single,business-owner,74724.73,NKR-040,retail,2019-05-15T00:00:00+00:00,verified,medium,{}
EV-CUST-C00106,C00106,Customer 00106,NID36568996,1998-09-13,male,married,self-employed,907681.96,NBO-003,corp,2025-10-18T00:00:00+00:00,verified,low,{}
EV-CUST-C00107,C00107,Customer 00107,NID33743844,1981-12-03,female,married,self-employed,1736203.15,NBO-003,corp,2020-01-08T00:00:00+00:00,verified,low,{}
EV-CUST-C00108,C00108,Customer 00108,NID13171093,1998-01-26,female,married,business-owner,40377.54,ELD-030,retail,2023-02-11T00:00:00+00:00,verified,high,{}
EV-CUST-C00109,C00109,Customer 00109,NID32013543,1965-10-22,female,single,employed,26278.00,NBO-003,retail,2020-06-10T00:00:00+00:00,verified,medium,{}
EV-CUST-C00110,C00110,Customer 00110,NID10611715,2003-09-03,female,married,self-employed,24584.53,NBO-002,retail,2024-09-12T00:00:00+00:00,verified,medium,{}
EV-CUST-C00111,C00111,Customer 00111,NID28111701,1969-02-10,male,divorced,business-owner,89998.25,NKR-040,retail,2019-09-25T00:00:00+00:00,verified,low,{}
EV-CUST-C00112,C00112,Customer 00112,NID22223859,1999-03-24,male,married,business-owner,28563.45,NKR-040,retail,2025-01-14T00:00:00+00:00,verified,low,{}
EV-CUST-C00113,C00113,Customer 00113,NID19454690,1990-04-12,female,divorced,unemployed,38210.09,NBO-002,retail,2025-08-25T00:00:00+00:00,verified,medium,{}
EV-CUST-C00114,C00114,Customer 00114,NID33870655,2001-08-28,male,married,employed,33750.24,NKR-040,retail,2023-09-04T00:00:00+00:00,verified,low,{}
EV-CUST-C00115,C00115,Customer 00115,NID23921630,1965-04-27,male,married,business-owner,77328.50,NBO-002,retail,2025-06-01T00:00:00+00:00,verified,low,{}
EV-CUST-C00116,C00116,Customer 00116,NID11285241,1966-12-21,female,married,self-employed,38901.37,NKR-040,retail,2023-03-05T00:00:00+00:00,verified,low,{}
EV-CUST-C00117,C00117,Customer 00117,NID30430625,1976-04-27,female,single,business-owner,20941.93,NBO-002,retail,2020-09-24T00:00:00+00:00,verified,low,{}
EV-CUST-C00118,C00118,Customer 00118,NID10551478,1989-02-04,male,divorced,self-employed,74542.43,NBO-003,retail,2025-10-18T00:00:00+00:00,verified,medium,{}
EV-CUST-C00119,C00119,Customer 00119,NID28256361,2002-11-03,male,married,unemployed,46242.57,NBO-001,retail,2023-02-17T00:00:00+00:00,verified,high,{}
EV-CUST-C00120,C00120,Customer 00120,NID35389931,1964-06-08,female,single,employed,16218.17,NBO-003,retail,2019-10-24T00:00:00+00:00,verified,medium,{}
EV-CUST-C00121,C00121,Customer 00121,NID34026485,1989-12-16,female,single,business-owner,73435.69,NBO-002,retail,2020-03-03T00:00:00+00:00,verified,low,{}
EV-CUST-C00122,C00122,Customer 00122,NID35276248,1992-07-27,male,married,business-owner,85002.82,NKR-040,retail,2025-05-02T00:00:00+00:00,verified,medium,{}
EV-CUST-C00123,C00123,Customer 00123,NID16268545,1983-07-13,female,divorced,unemployed,24335.63,NBO-003,retail,2025-07-11T00:00:00+00:00,pending,low,{}
EV-CUST-C00124,C00124,Customer 00124,NID20778067,1965-07-20,male,single,business-owner,594436.35,ELD-030,sme,2020-09-10T00:00:00+00:00,verified,low,{}
EV-CUST-C00125,C00125,Customer 00125,NID21829927,1988-06-15,female,married,employed,274987.52,NBO-001,sme,2018-12-28T00:00:00+00:00,verified,low,{}
EV-CUST-C00126,C00126,Customer 00126,NID12255977,1970-01-05,male,divorced,business-owner,71242.35,NBO-003,retail,2025-01-05T00:00:00+00:00,verified,low,{}
EV-CUST-C00127,C00127,Customer 00127,NID27765725,1983-06-15,female,married,business-owner,65929.65,ELD-030,retail,2019-10-05T00:00:00+00:00,verified,high,{}
EV-CUST-C00128,C00128,Customer 00128,NID18733875,1993-07-18,female,single,business-owner,28953.60,ELD-030,retail,2019-05-25T00:00:00+00:00,verified,low,{}
EV-CUST-C00129,C00129,Customer 00129,NID32881748,1988-03-23,female,divorced,business-owner,78961.97,ELD-030,retail,2025-02-26T00:00:00+00:00,verified,low,{}
EV-CUST-C00130,C00130,Customer 00130,NID14072248,2000-03-26,male,single,self-employed,665276.37,NKR-040,sme,2023-09-08T00:00:00+00:00,verified,low,{}
EV-CUST-C00131,C00131,Customer 00131,NID23360031,1995-03-20,female,divorced,unemployed,50055.44,NKR-040,retail,2019-02-10T00:00:00+00:00,verified,low,{}
EV-CUST-C00132,C00132,Customer 00132,NID36181279,1964-08-15,male,single,unemployed,38777.08,KSM-020,retail,2023-03-27T00:00:00+00:00,verified,low,{}
EV-CUST-C00133,C00133,Customer 00133,NID19531079,1970-03-11,male,married,self-employed,26476.16,ELD-030,retail,2021-06-17T00:00:00+00:00,pending,low,{}
EV-CUST-C00134,C00134,Customer 00134,NID15173901,1965-09-21,male,divorced,business-owner,61082.12,NKR-040,retail,2020-10-19T00:00:00+00:00,pending,low,{}
EV-CUST-C00135,C00135,Customer 00135,NID30740277,2001-10-09,male,married,business-owner,226297.03,ELD-030,sme,2021-10-14T00:00:00+00:00,pending,low,{}
EV-CUST-C00136,C00136,Customer 00136,NID23945951,1979-08-03,female,married,self-employed,570444.78,NBO-003,sme,2018-03-15T00:00:00+00:00,verified,low,{}
EV-CUST-C00137,C00137,Customer 00137,NID13562941,1982-07-05,female,single,unemployed,598493.86,NBO-001,sme,2023-09-18T00:00:00+00:00,verified,low,{}
EV-CUST-C00138,C00138,Customer 00138,NID20986922,1984-10-14,female,single,self-employed,36765.90,MSA-010,retail,2021-03-27T00:00:00+00:00,rejected,low,{}
EV-CUST-C00139,C00139,Customer 00139,NID29573780,1965-07-17,female,single,employed,463501.06,NBO-003,sme,2025-04-07T00:00:00+00:00,verified,medium,{}
EV-CUST-C00140,C00140,Customer 00140,NID39610300,1994-01-28,female,divorced,business-owner,50294.01,NKR-040,retail,2019-07-05T00:00:00+00:00,verified,low,{}
EV-CUST-C00141,C00141,Customer 00141,NID25111385,1983-09-10,female,divorced,employed,57136.26,NBO-002,retail,2019-07-17T00:00:00+00:00,pending,low,{}
EV-CUST-C00142,C00142,Customer 00142,NID11520128,1983-03-07,male,single,business-owner,373278.62,NKR-040,sme,2024-09-02T00:00:00+00:00,verified,low,{}
EV-CUST-C00143,C00143,Customer 00143,NID34807441,1980-10-11,female,divorced,business-owner,53662.93,KSM-020,retail,2020-07-20T00:00:00+00:00,verified,low,{}
EV-CUST-C00144,C00144,Customer 00144,NID20323954,1961-06-11,male,divorced,unemployed,350880.62,NBO-003,sme,2019-07-19T00:00:00+00:00,pending,medium,{}
EV-CUST-C00145,C00145,Customer 00145,NID34198880,1963-10-16,female,single,self-employed,509251.61,NBO-001,sme,2020-09-21T00:00:00+00:00,verified,medium,{}
EV-CUST-C00146,C00146,Customer 00146,NID36003755,1986-03-14,female,divorced,employed,48077.89,ELD-030,retail,2021-07-17T00:00:00+00:00,verified,low,{}
EV-CUST-C00147,C00147,Customer 00147,NID21486588,1993-07-11,female,divorced,business-owner,64667.01,KSM-020,retail,2020-08-18T00:00:00+00:00,verified,high,{}
EV-CUST-C00148,C00148,Customer 00148,NID26408220,1979-05-23,female,married,business-owner,37387.44,KSM-020,retail,2021-12-23T00:00:00+00:00,pending,medium,{}
EV-CUST-C00149,C00149,Customer 00149,NID36998427,2003-09-13,male,married,employed,24140.56,NBO-003,retail,2024-06-25T00:00:00+00:00,pending,low,{}
EV-CUST-C00150,C00150,Customer 00150,NID19114104,1990-04-07,male,single,self-employed,553904.07,NBO-002,sme,2022-09-23T00:00:00+00:00,verified,high,{}
EV-CUST-C00151,C00151,Customer 00151,NID35862617,1966-07-11,male,single,self-employed,32462.74,MSA-010,retail,2025-02-22T00:00:00+00:00,verified,medium,{}
EV-CUST-C00152,C00152,Customer 00152,NID29264718,1978-06-10,male,divorced,employed,63790.40,NBO-002,retail,2018-02-21T00:00:00+00:00,verified,medium,{}
EV-CUST-C00153,C00153,Customer 00153,NID20012381,1985-08-06,male,married,business-owner,200713.71,MSA-010,sme,2022-01-01T00:00:00+00:00,rejected,low,{}
EV-CUST-C00154,C00154,Customer 00154,NID15452402,1992-08-09,female,divorced,business-owner,85392.04,ELD-030,retail,2021-02-11T00:00:00+00:00,verified,medium,{}
EV-CUST-C00155,C00155,Customer 00155,NID21003392,1972-03-20,male,married,employed,503635.30,NBO-002,sme,2024-07-17T00:00:00+00:00,rejected,low,{}
EV-CUST-C00156,C00156,Customer 00156,NID29544139,1984-04-15,male,married,business-owner,183893.17,ELD-030,sme,2022-06-10T00:00:00+00:00,verified,medium,{}
EV-CUST-C00157,C00157,Customer 00157,NID31431595,2003-09-23,female,married,self-employed,26978.76,NBO-002,retail,2022-12-04T00:00:00+00:00,pending,low,{}
EV-CUST-C00158,C00158,Customer 00158,NID32283311,1983-07-23,male,single,employed,89162.85,KSM-020,retail,2025-09-26T00:00:00+00:00,verified,medium,{}
EV-CUST-C00159,C00159,Customer 00159,NID15028211,1963-09-17,male,married,unemployed,57312.65,NBO-001,retail,2021-10-18T00:00:00+00:00,verified,medium,{}
EV-CUST-C00160,C00160,Customer 00160,NID25327613,1988-01-15,male,divorced,unemployed,82416.70,ELD-030,retail,2020-09-14T00:00:00+00:00,verified,medium,{}
EV-CUST-C00161,C00161,Customer 00161,NID33501016,1973-10-03,male,divorced,employed,76233.99,NBO-001,retail,2018-07-12T00:00:00+00:00,rejected,low,{}
EV-CUST-C00162,C00162,Customer 00162,NID25050408,1968-11-24,female,married,employed,28498.60,ELD-030,retail,2024-06-13T00:00:00+00:00,pending,medium,{}
EV-CUST-C00163,C00163,Customer 00163,NID34422866,1967-03-18,male,single,employed,79521.49,NBO-003,retail,2024-09-05T00:00:00+00:00,verified,medium,{}
EV-CUST-C00164,C00164,Customer 00164,NID16324354,1974-04-15,male,single,unemployed,43445.74,KSM-020,retail,2023-03-09T00:00:00+00:00,verified,medium,{}
EV-CUST-C00165,C00165,Customer 00165,NID33598371,1966-10-02,male,single,employed,30456.12,MSA-010,retail,2025-10-22T00:00:00+00:00,verified,low,{}
